year,miningValueAddedCurrentPrices,ceramicsAndGlassValueAddedCurrentPrices,ceramicsAndGlassValueAddedCurrentPrices_state,diamondCuttingValueAddedCurrentPrices,diamondCuttingValueAddedCurrentPrices_state,paperValueAddedCurrentPrices,printingValueAddedCurrentPrices,printingValueAddedCurrentPrices_state,woodworkingValueAddedCurrentPrices,woodworkingValueAddedCurrentPrices_state,foodstuffsValueAddedCurrentPrices,textilesValueAddedCurrentPrices,clothingValueAddedCurrentPrices,leatherValueAddedCurrentPrices,chemicalsValueAddedCurrentPrices,metalsAndEngineeringValueAddedCurrentPrices,shipbuildingValueAddedCurrentPrices,utilitiesValueAddedCurrentPrices,constructionValueAddedCurrentPrices,industryTotalValueAddedCurrentPrices
1886,4.091727058382932,6.639468234450498,,14.965277017593534,,2.004932846929638,5.648361282134772,,8.6493614853488,,101.3631474447989,45.401327655505156,38.64251657923242,9.057101153645426,1.680590682530311,18.28989422195335,10.05813,11.043708093609673,56.114399999999996,333.6499437561154
1887,3.9030422353541643,6.398398497575623,,15.40896073716764,,1.868494836473068,5.081005050275366,,8.079179415589925,,122.41221665872523,51.69635198788248,41.93005093974763,8.912538526542756,1.6411552629006254,15.866958227787451,7.46817,10.626297639719473,50.7996,352.0924200157414
1888,3.8140552782729293,7.540907571304997,,16.45399479035599,,1.8260490125202462,6.926920320386148,,8.452071829802453,,141.1059701871945,46.429165394785834,39.00303257900318,8.708747133320204,1.9590324923882751,19.45550635980156,8.38008,10.363711798052268,64.3956,384.81484474718854
1889,4.1059351598577365,7.272937142962356,,17.277610692805155,,2.0323662286971778,7.719336315860935,,8.98720154177329,,153.6445840523355,45.43888193343841,37.19653380554628,8.805921679453668,2.0031090245310503,25.325575783165604,8.973329999999999,9.8844459085546,55.99079999999999,394.65856926898175
1890,4.084991176688279,8.763596212590155,,17.206645517134856,,2.1085412159290122,7.631572062772123,,7.941708481997487,,128.66689622122783,44.611939676924514,35.56617215149083,9.12082567578792,2.081442889269136,26.46075041109659,14.749889999999999,9.565927985724066,57.2268,375.7876996786328
1891,4.458196418403626,10.094945429980632,,17.425430803651782,,2.5973771857867747,7.6095056194475195,,7.985754244299524,,130.45879809461613,44.92206133378442,33.0134365392046,9.727105171397856,2.268754235692142,25.359992012369382,20.31966,10.077687914859156,54.6312,380.94990500349354
1892,4.024258743698854,10.716443630972417,,17.613301546173314,,2.2458245816708073,8.576330952138669,,9.154044345474892,,132.29509679643738,33.00752713456328,24.66604495419538,9.97341331977761,2.2753741235637293,23.98155108500777,16.19403,10.731479617704567,54.8784,360.33312083137866
1893,3.2315988373183937,10.299676361327831,,17.65579199048832,,2.6207928922714583,8.874430332262566,,9.424220665070091,,123.32030140378686,32.74813963361903,27.142492020956997,10.275539961045117,1.830131705565398,20.771859669609867,8.9835,11.252997846076735,54.136799999999994,342.56827331939866
1894,3.4185643527105634,10.201702006348876,,17.526092115061655,,2.891839705822236,10.330577462969755,,9.906528708846876,,158.40515382265227,31.130031988774387,27.499585479385082,9.876823058550155,1.6929294218173954,20.04645093525934,19.41453,11.84457666549531,55.37279999999999,389.5581857236939
1895,3.2027356575553947,12.480658122569157,,17.51105285283182,,3.3005320068930017,10.833978835178776,,9.94343811801813,,131.76084383611612,31.883075468728503,25.848821870622935,9.643024182158307,1.7258570759307281,20.044930471556054,9.30894,12.300382206197094,55.37279999999999,355.161070704356
1896,3.335952356547904,15.840583421110976,,17.580910384112716,,3.4923644679814685,8.06314567993556,,11.054078401014495,,142.42721313194426,32.227445213810114,30.818357885093377,10.875992252892452,1.8756374295127443,20.099902367839853,20.75697,12.926206782168784,60.934799999999996,392.3095597739647
1897,3.583445275350938,16.87517230819307,,17.649898639901206,,3.8257007012499047,9.187323875202289,,13.346120864840344,,146.2294548001828,34.85272599728976,30.79956540545839,10.343430863136533,1.8977790695979126,20.844789873100027,18.0687,13.627345480503102,64.3956,405.5270531540063
